Anime Title,My Rating,MAL Rating,Link
86,6,8.24,https://myanimelist.net/anime/41457/86
86 Part 2,7,8.71,https://myanimelist.net/anime/48569/86_Part_2
Air,7,7.28,https://myanimelist.net/anime/101/Air
Akira,7,8.16,https://myanimelist.net/anime/47/Akira
Amagami SS,7,7.31,https://myanimelist.net/anime/8676/Amagami_SS
Amagi Brilliant Park,5,7.48,https://myanimelist.net/anime/22147/Amagi_Brilliant_Park
Angel Beats!,7,8.08,https://myanimelist.net/anime/6547/Angel_Beats
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8,8.33,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
Another,7,7.49,https://myanimelist.net/anime/11111/Another
Ansatsu Kyoushitsu,7,8.10,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu
Ansatsu Kyoushitsu 2nd Season,7,8.51,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
Beastars,7,7.88,https://myanimelist.net/anime/39195/Beastars
Boku dake ga Inai Machi,7,8.32,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
Boku no Hero Academia,7,7.93,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia
Boku no Hero Academia 2nd Season,6,8.16,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season
Boku no Hero Academia 3rd Season,7,8.09,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season
Boku no Hero Academia the Movie 2: Heroes:Rising,7,8.02,https://myanimelist.net/anime/39565/Boku_no_Hero_Academia_the_Movie_2__Heroes_Rising
Bokura no,8,7.63,https://myanimelist.net/anime/1690/Bokura_no
Charlotte,7,7.75,https://myanimelist.net/anime/28999/Charlotte
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8,8.12,https://myanimelist.net/anime/35608/Chuunibyou_demo_Koi_ga_Shitai_Movie__Take_On_Me
Clannad,8,8.01,https://myanimelist.net/anime/2167/Clannad
Clannad: After Story,9,8.94,https://myanimelist.net/anime/4181/Clannad__After_Story
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",6,7.95,https://myanimelist.net/anime/4059/Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen
Code Geass: Hangyaku no Lelouch,9,8.70,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
Code Geass: Hangyaku no Lelouch R2,9,8.91,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
Darling in the FranXX,7,7.23,https://myanimelist.net/anime/35849/Darling_in_the_FranXX
Darwin's Game,8,7.25,https://myanimelist.net/anime/38656/Darwins_Game
Death Note,8,8.62,https://myanimelist.net/anime/1535/Death_Note
Detective Conan Movie 06: The Phantom of Baker Street,6,8.30,https://myanimelist.net/anime/1365/Detective_Conan_Movie_06__The_Phantom_of_Baker_Street
Digimon Adventure,8,7.77,https://myanimelist.net/anime/552/Digimon_Adventure
Digimon Adventure 02,6,7.23,https://myanimelist.net/anime/1313/Digimon_Adventure_02
Digimon Adventure 02 Movies,7,7.11,https://myanimelist.net/anime/2962/Digimon_Adventure_02_Movies
Digimon Adventure: Last Evolution Kizuna,6,8.17,https://myanimelist.net/anime/38088/Digimon_Adventure__Last_Evolution_Kizuna
Dr. Stone,7,8.30,https://myanimelist.net/anime/38691/Dr_Stone
Dragon Ball Z,7,8.15,https://myanimelist.net/anime/813/Dragon_Ball_Z
Elfen Lied,7,7.50,https://myanimelist.net/anime/226/Elfen_Lied
Eromanga-sensei,6,6.39,https://myanimelist.net/anime/32901/Eromanga-sensei
Fruits Basket 1st Season,8,8.22,https://myanimelist.net/anime/38680/Fruits_Basket_1st_Season
Fruits Basket 2nd Season,8,8.57,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
Fruits Basket: The Final,9,9.03,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
Fullmetal Alchemist,7,8.12,https://myanimelist.net/anime/121/Fullmetal_Alchemist
Fullmetal Alchemist: Brotherhood,8,9.14,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Golden Time,7,7.75,https://myanimelist.net/anime/17895/Golden_Time
Guilty Crown,7,7.44,https://myanimelist.net/anime/10793/Guilty_Crown
Haikyuu!!,8,8.45,https://myanimelist.net/anime/20583/Haikyuu
Haikyuu!! To the Top,9,8.36,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top
Hibike! Euphonium,6,8.00,https://myanimelist.net/anime/27989/Hibike_Euphonium
Hibike! Euphonium 2,5,8.30,https://myanimelist.net/anime/31988/Hibike_Euphonium_2
Horimiya,6,8.21,https://myanimelist.net/anime/42897/Horimiya
Hotaru no Haka,7,8.50,https://myanimelist.net/anime/578/Hotaru_no_Haka
Hotarubi no Mori e,7,8.31,https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e
Howl no Ugoku Shiro,6,8.66,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
Hunter x Hunter,7,8.40,https://myanimelist.net/anime/136/Hunter_x_Hunter
Hunter x Hunter (2011),8,9.05,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
Hyouka,8,8.09,https://myanimelist.net/anime/12189/Hyouka
K-On!,5,7.85,https://myanimelist.net/anime/5680/K-On
K-On!!,5,8.17,https://myanimelist.net/anime/7791/K-On
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8,8.40,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
Kaguya-sama wa Kokurasetai: Ultra Romantic,9,9.16,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,9,8.65,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
Kanojo mo Kanojo,5,6.58,https://myanimelist.net/anime/43969/Kanojo_mo_Kanojo
"Kanojo, Okarishimasu",6,7.22,https://myanimelist.net/anime/40839/Kanojo_Okarishimasu
Kanon (2006),7,7.97,https://myanimelist.net/anime/1530/Kanon_2006
Karakai Jouzu no Takagi-san 2,7,8.09,https://myanimelist.net/anime/38993/Karakai_Jouzu_no_Takagi-san_2
Karakai Jouzu no Takagi-san 3,7,8.50,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
Kaze Tachinu,6,8.10,https://myanimelist.net/anime/16662/Kaze_Tachinu
Kimetsu no Yaiba,7,8.55,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
Kimetsu no Yaiba Movie: Mugen Ressha-hen,7,8.66,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
Kimetsu no Yaiba: Mugen Ressha-hen,7,8.39,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen
Kimetsu no Yaiba: Yuukaku-hen,7,8.87,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
Kimi ni Todoke,7,8.00,https://myanimelist.net/anime/6045/Kimi_ni_Todoke
Kimi ni Todoke 2nd Season,6,7.99,https://myanimelist.net/anime/9656/Kimi_ni_Todoke_2nd_Season
Kimi no Na wa.,8,8.87,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
Kimi no Suizou wo Tabetai,8,8.57,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
Kiseijuu: Sei no Kakuritsu,8,8.35,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
Kiss x Sis (TV),10,6.64,https://myanimelist.net/anime/7593/Kiss_x_Sis_TV
Koe no Katachi,8,8.95,https://myanimelist.net/anime/28851/Koe_no_Katachi
Kokoro Connect,8,7.77,https://myanimelist.net/anime/11887/Kokoro_Connect
"Komi-san wa, Comyushou desu.",6,8.03,https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu
Kono Subarashii Sekai ni Shukufuku wo!,7,8.12,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,7,8.47,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,7,7.85,https://myanimelist.net/anime/32380/Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kono_Subarashii_Choker_ni_Shukufuku_wo
Kuzu no Honkai,7,7.18,https://myanimelist.net/anime/32949/Kuzu_no_Honkai
Kyoukai no Kanata,7,7.74,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata
Masamune-kun no Revenge,7,6.75,https://myanimelist.net/anime/33487/Masamune-kun_no_Revenge
Mimi wo Sumaseba,8,8.22,https://myanimelist.net/anime/585/Mimi_wo_Sumaseba
Mirai Nikki (TV),8,7.45,https://myanimelist.net/anime/10620/Mirai_Nikki_TV
Mob Psycho 100,5,8.48,https://myanimelist.net/anime/32182/Mob_Psycho_100
Mob Psycho 100 II,5,8.81,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
Mononoke Hime,6,8.68,https://myanimelist.net/anime/164/Mononoke_Hime
